t,p,median,mean
10,10,-1.5258789e-05,1.6325034e-06
10,20,-2.670288e-05,-1.7842438e-06
10,30,-2.2888184e-05,1.4638518e-05
10,40,-2.670288e-05,4.633115e-05
10,50,-4.5776367e-05,5.813852e-05
20,10,-1.335144e-05,5.8945e-07
20,20,-1.9073486e-05,-9.584312e-07
20,30,-2.2888184e-05,9.798152e-07
20,40,-3.2424927e-05,4.184361e-07
20,50,-4.5776367e-05,-1.2176719e-07
35,10,0.015453339,0.01730859
35,20,0.0071983337,0.0076811924
35,30,0.0016040802,0.0012795965
35,40,-0.001821518,-0.0012694235
35,50,-0.006340027,-0.0042791506
50,10,0.015491486,0.01733248
50,20,0.007200241,0.0076816985
50,30,0.0016040802,0.001299268
50,40,-0.0018177032,-0.0012767417
50,50,-0.006328106,-0.004281635
75,10,0.015474319,0.017321585
75,20,0.0071964264,0.007687021
75,30,0.0016040802,0.0012858167
75,40,-0.001821518,-0.0012730194
75,50,-0.006340027,-0.00427489
